Category,ID,Sub-topic,DATA 1301,DATA 2301,DATA 3311,DATA 3401,DATA 3402,DATA 3421,DATA 3441,DATA 3442,DATA 3461,DATA 4380,DATA 4381,DATA 4382,ASDS 5301,ASDS 5302,ASDS 5303,ASDS 5304,ASDS 5305,ASDS 5306,ASDS 6301,ASDS 6303,ASDS 6304,ASDS 6305,ASDS 6306,DATA 5301 (PhD),DATA 5302 (PhD),DATA 5303 (PhD),DATA 6301 (PhD),DATA 6302 (PhD),DATA 6313 (PhD),DATA 5390 (PhD)
C13. Computer vision and image analysis,C13.18,"pretrained models such as AlexNet, ResNet, and VGG",,,,,,,,,D,D,,,,,,,D,,,,,,,,,,,,,
C13. Computer vision and image analysis,C13.19,confusion matrix–style evaluation for vision projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.1,ethics,I,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.2,privacy,I,,,,,,,,,,,,,,I,,,I,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.3,data security,I,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.4,broader societal implications,I,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.5,human and cognitive bias,I,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.6,responsible AI,I,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.7,legal implications of data science solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.8,black-box model challenges,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.9,transparency and trust,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.10,global vs local explainability,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.11,explainable/interpretable AI,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.12,SHAP,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.13,LIME,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.14,Grad-CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.15,model deployment concepts,,,,,,,,,,,,E,,,,,I,,,,,,E,,,,,,D,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.16,real-time pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.17,Streamlit,,,,,,,,,,,,E,,,,,,,,,,,E,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.18,Gradio,,,,,,,,,,,,I,,,,,,,,,,,I,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.19,Flask,,,,,,,,,,,,I,,,,,,,,,,,I,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.20,model operationalization and demoing deployed predictions,,,,,,,,,,,,E,,,,,I,,,,,,E,,,,,,,
"C14. Responsible AI, ethics, privacy, explainability, and deployment",C14.21,"causal inference (propensity, IPW, ATE/ATT)",,,,,,,,,,,,,,,I,,,,,,,D,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.1,project selection,,,,,,,,,,,D,D,D,D,,,E,I,I,D,D,,E,,,,,,I,D
"C15. Capstone, research, communication, and career-readiness rows",C15.2,team formation,,,,,,,,,,,D,D,D,D,,,D,,I,I,D,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.3,advisor meetings,,,,,,,,,,,D,D,D,,,,,,,,,,D,,,,,,,D
"C15. Capstone, research, communication, and career-readiness rows",C15.4,peer review,,,,,,,,,,,D,E,,I,,,D,,,D,I,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.5,whiteboard project defense,,,,,,,,,,,D,E,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.6,project flowcharts,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.7,progress reports,,,,,,,,,,,D,D,,,,,D,,I,,,,E,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.8,progress presentations,D,,,,,,,,,,D,E,,,,,,,,,,,D,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.9,final reports,D,,,,,,,,,,E,E,D,E,,,D,D,D,E,E,,E,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.10,reproducibility and documentation,,,,,,,,,,,I,D,I,I,,,E,,D,D,D,,D,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.11,GitHub repository quality,,,,,,,,,,,I,D,,,,,D,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.12,oral presentations,D,,,,,,,,,,E,E,D,E,,,I,D,D,E,E,,E,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.13,posters,D,,,,,,,,,,E,,I,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.14,public speaking,,,,,,,,,,,D,I,,D,,,,,,,D,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.15,reflection,,,,,,,,,,,,I,,,,,,,,,,,D,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.16,teamwork and leadership,D,,,,,,,,,,I,D,,,,,D,,,I,D,,D,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.17,resume writing,,,,,,,,,,,D,I,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.18,cover letters,,,,,,,,,,,D,I,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.19,LinkedIn optimization,,,,,,,,,,,D,I,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.20,technical interviews,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.21,behavioral interviews,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.22,STAR method,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.23,LeetCode-style practice,,,,,,,,,,,I,,,I,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.24,SQL interview questions,,,,,,,,,,,I,,,I,,,,,,,,,,,,,,,,
"C15. Capstone, research, communication, and career-readiness rows",C15.25,AI-assisted mock interviews,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,
"C16. Modern AI, large language models, and agentic systems",C16.1,large language models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
"C16. Modern AI, large language models, and agentic systems",C16.2,prompt engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
"C16. Modern AI, large language models, and agentic systems",C16.3,retrieval-augmented generation (RAG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
"C16. Modern AI, large language models, and agentic systems",C16.4,agentic AI systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
"C16. Modern AI, large language models, and agentic systems",C16.5,graph neural networks,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,D,
